year,asset,Ig,Kg,Kn,D,R,delta,z
1994,ME,1994362.3500870198,74258.09186853383,8926.161095961277,1993368.8242348954,1984744.0651887376,223.317594518523,26.727646984284476
1995,ME,2829308.9758565985,89302.07594020624,10072.359618710056,2828162.7773338496,2814264.991784926,280.78453156898365,31.513992952070524
1996,ME,2989790.9878385263,104074.77505320916,11941.369828518838,2987921.9776287177,2975018.2887255233,250.21601546020688,28.58539244696439
1997,ME,3516812.8651727038,121338.3633321775,13788.849378561252,3514965.3856226616,3499549.2768937354,254.91361092736935,28.841243451696503
1998,ME,3543564.4530568495,135852.1086209959,15982.07059188586,3541371.231843525,3529050.707768031,221.58400637033156,25.977150767777022
1999,ME,2563917.201206702,137677.11652477251,17986.242005532265,2561913.0297930553,2562092.193302925,142.43737124214462,18.60942659154198
2000,ME,3194392.9354198454,143176.80250507244,18811.788916904276,3193567.3885084735,3188893.2494395454,169.7641517569195,22.27241559837579
2001,ME,3322946.7528623226,148183.24310597326,20181.81456316274,3321576.727216064,3317940.3122614217,164.58266013794608,22.39079293121285
2002,ME,3339033.4730295297,152005.89479631625,21540.868940883694,3337674.4186518085,3335210.8213391867,154.9461364725653,21.94132553746207
2003,ME,3516258.421999999,156593.07682472785,22776.65197052534,3515022.6389703574,3511671.2399715874,154.32569472980728,22.42545654749568
2004,ME,4319248.639,167728.0912646624,24061.48179897297,4317963.809171553,4308113.624560066,179.45544024457624,25.68510493428429
2005,ME,6274944.301999999,196163.68738702027,26015.486777133927,6272990.297021838,6246508.705877641,241.12523247250653,31.843348731274713
2006,ME,6371339.289000001,208359.1793926629,29724.523618305207,6367630.25215883,6359143.796994358,214.22143997750942,30.520103868379355
2007,ME,7446780.999999999,225968.03943721062,33154.02680480154,7443351.496813503,7429172.139955452,224.50821858343667,32.8770925236079
2008,ME,9600698.000000002,256882.1935910489,37308.281402816705,9596543.745401986,9569783.845846163,257.2228841577641,37.253589717787364
2009,ME,7431121.000000001,NA,43191.209161026025,7425238.0722417915,NA,171.91549429790035,NA
2010,ME,10294921,NA,46303.209244923426,10291808.999916103,NA,222.2698851277673,NA
1860,NR,15814.546034885816,NA,NA,NA,NA,NA,NA
1861,NR,16458.084647700252,NA,NA,NA,NA,NA,NA
1862,NR,16252.311987074054,NA,NA,NA,NA,NA,NA
1863,NR,17312.06412992639,NA,NA,NA,NA,NA,NA
1864,NR,18578.205920859404,NA,NA,NA,NA,NA,NA
1865,NR,20482.43463317935,NA,NA,NA,NA,NA,NA
1866,NR,23764.329778108167,NA,NA,NA,NA,NA,NA
1867,NR,23589.653609723588,NA,NA,NA,NA,NA,NA
1868,NR,23820.520713230195,NA,NA,NA,NA,NA,NA
1869,NR,23951.951033432248,NA,NA,NA,NA,NA,NA
1870,NR,27979.035389432516,NA,NA,NA,NA,NA,NA
1871,NR,29469.62927475834,NA,NA,NA,NA,NA,NA
1872,NR,31688.23417715871,NA,NA,NA,NA,NA,NA
1873,NR,35950.28679844655,NA,NA,NA,NA,NA,NA
1874,NR,47065.092736796476,NA,NA,NA,NA,NA,NA
1875,NR,50685.522986592296,NA,NA,NA,NA,NA,NA
1876,NR,50298.43453969797,NA,NA,NA,NA,NA,NA
1877,NR,57672.74797008281,NA,NA,NA,NA,NA,NA
1878,NR,53755.67822994917,NA,NA,NA,NA,NA,NA
1879,NR,59446.466132349524,NA,NA,NA,NA,NA,NA
1880,NR,63291.31829452548,NA,NA,NA,NA,NA,NA
1881,NR,68761.9993001055,NA,NA,NA,NA,NA,NA
1882,NR,76342.3738574069,NA,NA,NA,NA,NA,NA
1883,NR,86506.73622777683,NA,NA,NA,NA,NA,NA
1884,NR,88569.29207617657,NA,NA,NA,NA,NA,NA
1885,NR,90684.00983052993,NA,NA,NA,NA,NA,NA
1886,NR,100602.82191199357,NA,NA,NA,NA,NA,NA
1887,NR,107242.4946197035,NA,NA,NA,NA,NA,NA
1888,NR,111235.05318931415,NA,NA,NA,NA,NA,NA
1889,NR,117783.56134275583,NA,NA,NA,NA,NA,NA
1890,NR,157167.2572012397,NA,NA,NA,NA,NA,NA
1891,NR,147811.24034225303,NA,NA,NA,NA,NA,NA
1892,NR,150825.57410297435,NA,NA,NA,NA,NA,NA
1893,NR,161079.80572986224,NA,NA,NA,NA,NA,NA
1894,NR,170748.99912677344,NA,NA,NA,NA,NA,NA
1895,NR,179647.31863301643,NA,NA,NA,NA,NA,NA
1896,NR,197752.88715482486,NA,NA,NA,NA,NA,NA
1897,NR,178689.9838185666,NA,NA,NA,NA,NA,NA
1898,NR,182559.27591206177,NA,NA,NA,NA,NA,NA
1899,NR,182002.40184895662,NA,NA,NA,NA,NA,NA
1900,NR,193862.16648983175,12123.373732712966,1946.839652799808,NA,NA,NA,NA
1901,NR,168714.80633118848,12456.314363807356,2036.1599561154158,168625.48602787286,168381.8657000941,82.81544164613493,13.517791923214359
1902,NR,176130.9856004083,12401.580356608549,2119.634664986389,176047.51089153733,176185.7196076071,83.05559151282695,14.206715155760076
1903,NR,175795.28253648456,12408.502021834625,2203.580534710193,175711.33666676076,175788.36087125848,79.73901289242858,14.166767315017754
1904,NR,174296.0367115152,12847.609663366047,2287.952086335738,174211.66515988964,173856.92906998377,76.14305657899408,13.53223935233051
1905,NR,187381.5506095728,13862.659964425911,2379.6871106167823,187289.81558529174,186366.5003085129,78.70354667624719,13.443776359426186
1906,NR,259520.0811021487,15487.345324508562,2487.490990799692,259412.27722196578,257895.39574206603,104.28672030629889,16.65200783855121
1907,NR,308273.2627391005,17419.393120079603,2618.5935016713747,308142.16022822884,306341.21494352946,117.674683005037,17.586216283873014
1908,NR,347189.5884798785,18661.217041796823,2786.8094104142515,347021.37257113564,345947.76455816126,124.52282214719229,18.538328115648515
1909,NR,305672.4113887439,19071.125826456744,2977.5021959566193,305481.71860320156,305262.502604084,102.59663922936441,16.006527636695857
1910,NR,334363.7092744738,19515.919549273283,3148.368635292831,334192.84283513756,333918.9155516572,106.14793931335622,17.110078503274593
1911,NR,359915.83199414273,20645.527676684742,3337.2377624974647,359726.9628669381,358786.2238667313,107.79182919161619,17.37839930688297
1912,NR,411220.29905992164,22037.39063224131,3555.054048728811,411002.4827736903,409828.4361043651,115.61075503779006,18.596958366966316
1913,NR,401217.6840867462,23199.17896317994,3792.3734387679224,400980.36469670705,400055.8957558076,105.73335436791234,17.24439888113055
1914,NR,339429.1571482766,23413.89806137854,4013.8784209073356,339207.6521661372,339214.438050078,84.50870121010279,14.48773874221378
1915,NR,234720.07360652369,22419.88936802313,4186.35561886406,234547.59640856695,235714.08229987908,56.026677559755406,10.513614872519023
1916,NR,237700.27319232,21903.17425831635,4268.842217141023,237617.78659404302,238216.98830202676,55.663286321503605,10.875911659771363
1917,NR,293262.66959404823,21569.317700585914,4341.122637670795,293190.38917351846,293596.52615177864,67.53791902336768,13.611766965804547
1918,NR,308659.7347289592,21360.28468367243,4425.571416592092,308575.28595003794,308868.7677458727,69.72552398389632,14.459955582051238
1919,NR,317355.3940705918,21158.769601316166,4511.819796063625,317269.14569112024,317556.90915294806,70.31955176222338,15.0082880591126
1920,NR,316434.66672455147,21102.523398150173,4590.229825954718,316356.2566946604,316490.91292771744,68.91948087345752,14.997775714133823
1921,NR,289864.8773263582,21451.09616769012,4678.454073396422,289776.65307891654,289516.3045568183,61.93854818981841,13.496573895039031
1922,NR,281893.4868269975,22028.551023185748,4770.104923410347,281801.83597698354,281316.0319715019,59.07665355409241,12.770519117458422
1923,NR,337911.99022397626,22667.661551106256,4836.243445616365,337845.85170177027,337272.8796960558,69.85708132786372,14.879032799022701
1924,NR,356169.4108039641,23542.256172903595,4939.573165895524,356066.081083685,355294.8161821668,72.08438242034455,15.091791269823156
1925,NR,424509.8625666122,24564.82440852067,5049.8817592735295,424399.5539732342,423487.2943309951,84.04148338599671,17.23958157763596
1926,NR,443666.6926589731,26418.988123890136,5209.296572096788,443507.27784614987,441812.5289436036,85.1376518322577,16.72329488441239
1927,NR,426026.4029720307,27511.92250515158,5350.838961223511,425884.86058290396,424933.4685907692,79.59216557799789,15.445429831782961
1928,NR,377829.7466731134,28413.564473243416,5498.787500555426,377681.79813378147,376928.10470502154,68.68455965894887,13.265780330375955
1929,NR,618057.4565306411,32180.203527167934,5658.878427650063,617897.3656035464,614290.8174767166,109.19078285626607,19.089090501186714
1930,NR,662130.4547740407,35285.45486152653,5852.133274971944,661937.1999267188,659025.2034396821,113.11041099450905,18.676964942805647
1931,NR,556045.8983716408,34951.00203446496,6054.5399225265355,555843.4917240862,556380.3511987024,91.80606599950124,15.918866951226727
1932,NR,270115.9160080698,32630.959943295806,6214.301179976051,269956.1547506203,272435.958099239,43.44111219142113,8.349002253463043
1933,NR,280129.97681982117,30425.19906645204,6270.850861691018,280073.4271381062,282335.73769666493,44.662747259560994,9.2796677214835
1934,NR,174420.20741790798,28933.72806310091,6346.413583176017,174344.64469642297,175911.6784212591,27.471365112195137,6.079813774347271
1935,NR,278027.4818129079,28870.836806735064,6433.614818074263,277940.28057800967,278090.3730692738,43.20126218889864,9.632224203643455
1936,NR,352589.323920697,29083.447439635343,6557.7441670161215,352465.1945717551,352376.7132877967,53.747933068900494,12.116057218429086
1937,NR,350392.88509725814,29578.16196972293,6690.887779677321,350259.7414845969,349898.17056717054,52.348769403735055,11.829611688695753
1938,NR,460657.68677585974,30616.04268648065,6829.917787539514,460518.65676799754,459619.806059102,67.42667643938067,15.01238454511496
1939,NR,348847.98376624467,31221.14115760189,6999.967105566377,348677.9344482178,348242.88529512344,49.81136756642027,11.154072925689054
1940,NR,352089.2089956538,32239.172805317427,7152.438029108491,351936.7380721117,351071.17734793824,49.20514328678196,10.889583906756865
1941,NR,347556.4968286241,33016.90715922835,7303.492655398618,347405.442202334,346778.7624747132,47.56702835122834,10.503066226110377
1942,NR,247419.8586362027,33080.947908977774,7442.704062865144,247280.64722873617,247355.81788645327,33.22457068560952,7.477289301595976
1943,NR,225967.51263756337,32982.575445124174,7505.582164376508,225904.634536052,226065.88510141696,30.09821617945315,6.854100446993334
1944,NR,257841.27876192768,33239.6974160366,7584.7460814130745,257762.11484489113,257584.15679101524,33.98427740073651,7.749293068677061
1945,NR,376376.0825208586,33776.814818838015,7686.455188394106,376274.37341387756,375838.9651180572,48.952913168871376,11.12712868675954
1946,NR,396632.29472101305,35524.17220916061,7809.506398617149,396509.24351079,394884.93733069045,50.772638278521804,11.115950429630603
1947,NR,600708.4662423931,38428.54777577277,8068.814855861448,600449.1577851488,597804.090675781,74.41602868715758,15.556249852685452
1948,NR,516678.1413206478,40594.56746925346,8399.900106593534,516347.0560699157,514512.1216271671,61.47061864040587,12.674408269452835
1949,NR,665306.2873792637,43831.88366696001,8658.669479251703,665047.5180066054,662068.9711815572,76.80712603711488,15.104734631348217
1950,NR,549540.8174430545,45627.969325891376,8986.213075449637,549213.2738468566,547744.7317841231,61.11732152749738,12.004582712676367
1951,NR,694374.7785544388,48166.90440057706,9247.080977364967,694113.9106525235,691835.8434797531,75.06302933342724,14.36330302080747
1952,NR,734571.8409594625,50753.65181723548,9632.04773015386,734186.8742066736,731985.093542804,76.22334261366309,14.422313810613892
1953,NR,675620.1030227204,52654.07263333179,10007.026170273228,675245.124582601,673719.6822066241,67.47710189751251,12.795205546553241
1954,NR,586851.384068865,53743.66296535395,10280.66281871616,586577.747420422,585761.7937368428,57.056413362039756,10.89917883182723
1955,NR,679918.4183837196,55509.95349808269,10460.25815535428,679738.8230470815,678152.1278509909,64.98298731749219,12.216766275518754
1956,NR,830416.6104802454,57993.23863893352,10820.498779696538,830056.3698559032,827933.3253393946,76.7114702155331,14.276376777198385
1957,NR,1116425.938491082,62241.3451618246,11347.01708254618,1115899.4201882323,1112177.831968191,98.3429752568799,17.86879491560763
1958,NR,1117489.1231348037,66229.90159120002,12105.915612158557,1116730.2246051913,1113500.5667054283,92.24665530326389,16.812656216499338
1959,NR,797731.9242655875,67759.79210341588,12743.987883739735,797093.8519940063,796202.0337533716,62.546658021468424,11.750361225108213
1960,NR,1043193.4475820337,70960.34846441502,13085.685076311449,1042851.750389462,1039992.8912210346,79.69408894588939,14.655972155246209
1961,NR,1123561.2375360003,74590.70572439497,13655.481246221627,1122991.4413660902,1119930.8802760204,82.23741229748413,15.014348897757456
1962,NR,1168122.3378897873,78276.07360359993,14246.586346735137,1167531.2327892738,1164436.9700105824,81.95164823163654,14.876026816411876
1963,NR,1347504.3852445744,82641.07998488845,14918.846899191933,1346832.1246921176,1343139.3788632858,90.27722677180014,16.25268424745767
1964,NR,1343626.8337351112,86744.15119533677,15734.600489892635,1342811.0801444105,1339523.7625246628,85.34128851933585,15.44223724673063
1965,NR,1198205.1865846654,89492.03319637857,16459.940904460458,1197479.8461700976,1195457.3045836235,72.75116314941289,13.358253934854163
1966,NR,1214339.3801651509,92504.9178054736,16999.12790983985,1213800.1931597714,1211326.4955560558,71.40367432950309,13.094725386420272
1967,NR,1289160.8036738043,95864.26671881022,17581.83573433966,1288578.0958493045,1285801.4547604676,73.29030456885343,13.412729255333376
1968,NR,1369933.7951317788,99837.46762176632,18170.29061488331,1369345.340251235,1365960.5942288227,75.36177429818335,13.681843367699956
1969,NR,1389976.4891309603,103735.16952184537,18812.62247793572,1389334.1572679079,1386078.7872308812,73.85116875105427,13.361705520122467
1970,NR,1551180.7184080677,108487.89358670576,19503.170250972333,1550490.170635031,1546427.9943432072,79.49939167237343,14.254383076460694
1971,NR,1385671.0021309312,111771.74349716539,20229.21252906131,1384944.9598528421,1382387.1522204715,68.46262343940619,12.367948364834534
1972,NR,1077580.2166890188,112320.55271984196,20791.761550519484,1077017.6676675605,1077031.4074663422,51.80021255296914,9.588907652126247
1973,NR,1073185.718680866,112740.36451638362,21048.01806779742,1072929.462163588,1072765.9068843245,50.975320275172365,9.515366670013103
1974,NR,1265334.9137253873,113732.77492321446,21302.159494975822,1265080.772298209,1264342.5033185566,59.387442507722376,11.116782336245333
1975,NR,979086.6888175627,112950.50398140197,21676.26035843422,978712.5879541043,979868.9597593751,45.15135783434562,8.6752066190047
1976,NR,867186.2790022055,111188.98360332231,21790.81027980041,867071.7290808393,868947.7993802851,39.79070617142655,7.815052995540838
1977,NR,1108515.6669268613,111283.73540591043,21789.334433115808,1108517.1427735458,1108420.9151242732,50.87430027641424,9.960313706951677
1978,NR,1460253.0930675264,113574.57864020807,22088.990720023074,1459953.436780619,1457962.2498332288,66.09416678586453,12.837047403467768
1979,NR,1573493.0780722396,116786.04003028238,22612.19757874361,1572969.871213519,1570281.6166821653,69.56289258201843,13.445798969423011
1980,NR,1939150.6407390055,122321.7173968438,23238.50526547066,1938524.3330522785,1933614.963372444,83.41863260597354,15.807617850060828
1981,NR,2511495.871425557,130890.44809884735,24334.94167420995,2510399.435016818,2502927.1407235535,103.16028156653964,19.122305539311505
1982,NR,1410425.0900879719,130829.94191980604,25772.57345300752,1408987.4583091743,1410485.596267013,54.67003366498323,10.781061090217323
1983,NR,1233430.9900876866,128366.9729814924,26106.76065287968,1233096.8028878144,1235893.9590260002,47.23285356169988,9.627818825362409
1984,NR,1711189.3426722675,128515.69034083345,26378.354771813814,1710917.7485533333,1711040.6253129265,64.86066941451209,13.31386557372968
1985,NR,1813419.9067100927,129809.69101131015,27057.194465329325,1812741.067016577,1812125.906039616,66.99663815254002,13.959866108006743
1986,NR,1778589.2116274452,131206.55768826333,27776.035880459593,1777870.3702123149,1777192.344950492,64.00734711978986,13.544996349747732
1987,NR,2203242.056824856,135975.78677292663,28487.486331973916,2202530.6063733418,2198472.827740193,77.31572314617507,16.168119927201026
1988,NR,2482977.7472356777,142937.5296733127,29561.756541558545,2481903.477026093,2476016.0043352917,83.95656305257032,17.322364602174726
1989,NR,3255278.537355199,155541.1169506972,30892.457120573297,3253947.8367761844,3242674.9500778145,105.33146729235625,20.84770261168733
1990,NR,3316273.5478762556,167912.4780928868,32927.88655654263,3314238.1184402863,3303902.186734066,100.65140721221785,19.676335101828432
1991,NR,3206631.070529839,178614.0893129291,34829.44301917909,3204729.5140672023,3195929.459309797,92.01208047749986,17.892930348347704
1992,NR,3990077.6760800234,194020.9749584427,36587.9619547885,3988319.157144414,3974670.79043451,109.0063218627141,20.485778876669617
1993,NR,4660059.758722508,213944.5043056088,39025.48407637984,4657622.236600917,4640136.229375342,119.34822454694266,21.68850396244413
1994,NR,4984196.072628186,234320.98462475842,41991.3739869688,4981230.182717597,4963819.592309036,118.62508200525718,21.183845741592865
1995,NR,6295162.397880405,263199.76981883764,45063.55089403158,6292090.220973343,6266283.612686326,139.62703995007848,23.80808925858657
1996,NR,6821578.955398193,293891.4223036774,49255.607944923766,6817386.8983473005,6790887.302913353,138.4083393300172,23.10678974460283
1997,NR,7621807.867178307,326776.22791884973,53706.18338355815,7617357.291739672,7588923.061563134,141.83389717601278,23.223608124418817
1998,NR,7749762.573436378,358241.0781696988,58685.34471228348,7744783.412107652,7718297.723185528,131.97133713839438,21.544982397382608
1999,NR,6209280.162481619,375349.86923596216,63487.96413761736,6204477.543056285,6192171.371415356,97.72683101961462,16.497065481918877
2000,NR,6912985.366328986,394565.2619244157,66490.26229784638,6909983.0681687575,6893769.973640533,103.92473768888368,17.47181173531979
2001,NR,7208339.333076595,414279.8626855797,70039.16899939683,7204790.4263750445,7188624.732315431,102.86801698685333,17.352097892750542
2002,NR,7306190.516943963,433525.24102170486,73668.19279759955,7302561.49314576,7286945.138607838,99.1277404240017,16.808583328238115
2003,NR,7717095.648085449,454507.75407896587,77180.5661553442,7713583.274727704,7696113.135028188,99.94204058055608,16.93285332529458
2004,NR,8661488.885929536,481879.3069954122,80893.21985471419,8657776.232230166,8634117.33301309,107.02721745752861,17.917593072937848
2005,NR,11081326.27341326,525856.7241778052,85332.51389224219,11076886.979375731,11037348.856230866,129.8085158180575,20.989270173331214
2006,NR,11321942.67894992,552283.9986866985,91890.72449278903,11315384.468349373,11295515.404441027,123.13957182084606,20.45236767913094
2007,NR,12730262.767992308,583687.9617155688,98215.92239612121,12723937.570088977,12698858.804963438,129.55066001183812,21.756245867465044
2008,NR,15468614.98679218,633419.0333214037,105490.774841841,15461340.13434646,15418883.915186346,146.565803100102,24.34231228312749
2009,NR,12760791.45625303,NA,114952.41084416414,12751329.820250707,NA,110.92703255729987,NA
2010,NR,15717993.873375127,NA,121009.34056809204,15711936.9436512,NA,129.84069551895527,NA
1860,NRC,14213.638632577744,NA,NA,NA,NA,NA,NA
1861,NRC,14496.423600127544,NA,NA,NA,NA,NA,NA
1862,NRC,14997.776709302172,NA,NA,NA,NA,NA,NA
1863,NRC,15935.382808991311,NA,NA,NA,NA,NA,NA
1864,NRC,16953.969085266413,NA,NA,NA,NA,NA,NA
1865,NRC,18823.23424229959,NA,NA,NA,NA,NA,NA
1866,NRC,21567.379627118633,NA,NA,NA,NA,NA,NA
1867,NRC,21671.802047858764,NA,NA,NA,NA,NA,NA
1868,NRC,21593.491951237625,NA,NA,NA,NA,NA,NA
1869,NRC,23111.30682541856,NA,NA,NA,NA,NA,NA
1870,NRC,25101.358564201408,NA,NA,NA,NA,NA,NA
1871,NRC,27604.863493633733,NA,NA,NA,NA,NA,NA
1872,NRC,29626.877433700924,NA,NA,NA,NA,NA,NA
1873,NRC,33999.70916934475,NA,NA,NA,NA,NA,NA
1874,NRC,40253.70183682678,NA,NA,NA,NA,NA,NA
1875,NRC,44644.98445316709,NA,NA,NA,NA,NA,NA
1876,NRC,48282.15210518365,NA,NA,NA,NA,NA,NA
1877,NRC,53226.79690405529,NA,NA,NA,NA,NA,NA
1878,NRC,52062.346458007174,NA,NA,NA,NA,NA,NA
1879,NRC,58582.84877583901,NA,NA,NA,NA,NA,NA
1880,NRC,61351.030662881494,NA,NA,NA,NA,NA,NA
1881,NRC,65367.28936574161,NA,NA,NA,NA,NA,NA
1882,NRC,71359.60626979028,NA,NA,NA,NA,NA,NA
1883,NRC,82101.96666981111,NA,NA,NA,NA,NA,NA
1884,NRC,81067.48619910612,NA,NA,NA,NA,NA,NA
1885,NRC,85909.28987833283,NA,NA,NA,NA,NA,NA
1886,NRC,97766.49884265088,NA,NA,NA,NA,NA,NA
1887,NRC,101507.42725560706,NA,NA,NA,NA,NA,NA
1888,NRC,98335.19215230012,NA,NA,NA,NA,NA,NA
1889,NRC,112174.08228602668,NA,NA,NA,NA,NA,NA
1890,NRC,140676.36531622303,NA,NA,NA,NA,NA,NA
1891,NRC,135117.12173647084,NA,NA,NA,NA,NA,NA
1892,NRC,144847.5732789552,NA,NA,NA,NA,NA,NA
1893,NRC,148594.62649129113,NA,NA,NA,NA,NA,NA
1894,NRC,160427.47491163958,NA,NA,NA,NA,NA,NA
1895,NRC,171020.25003295625,NA,NA,NA,NA,NA,NA
1896,NRC,187988.72182478776,NA,NA,NA,NA,NA,NA
1897,NRC,171925.62503978217,NA,NA,NA,NA,NA,NA
1898,NRC,174721.27164827863,NA,NA,NA,NA,NA,NA
1899,NRC,169978.50208611708,NA,NA,NA,NA,NA,NA
1900,NRC,181430.37489912153,10162.723349601561,1763.5315394076592,NA,NA,NA,NA
1901,NRC,150538.99130525452,10162.723349601561,1849.5285251730222,150452.99431948917,150538.99130525452,81.34667417763367,14.812859321921474
1902,NRC,146738.59606906938,10083.3270734328,1935.8626607674535,146652.26193347495,146817.99234523813,75.75550936828138,14.56047109014931
1903,NRC,149601.05073038777,10003.930797264036,2017.258872754338,149519.65451840087,149680.44700655653,74.12021160885948,14.96216337756879
1904,NRC,150096.71757904373,10023.779866306226,2099.224986569522,150014.75146522856,150076.86851000154,71.46196926246446,14.972083436754986
1905,NRC,165997.0849776788,10261.968694812515,2179.802824134519,165916.5071401138,165758.8961491725,76.11537397011594,16.152738434386826
1906,NRC,179974.68248463218,10579.553799487563,2271.555387034713,179882.929921732,179657.09737995712,79.18932153204112,16.98153823733654
1907,NRC,215682.30732670947,11155.17680171109,2372.68239478972,215581.18031895446,215106.68432448595,90.85968724358509,19.283126403831698
1908,NRC,238568.39367203417,11373.516561175185,2500.6694108797637,238440.40665594413,238350.0539125701,95.35063116242067,20.956583887713812
1909,NRC,248065.80338088045,11869.743287229949,2644.51825165666,247921.95454010356,247569.57665482568,93.7493830435062,20.857197216823817
1910,NRC,274295.2804115734,12425.517220411284,2792.9904109364347,274146.8082522936,273739.50647839205,98.15529877181984,22.030431540404827
1911,NRC,285641.821294122,13259.178120183287,2959.5850797429034,285475.22662531555,284808.16039435,96.4578543726523,21.480076503445673
1912,NRC,322740.70652278065,14231.782503250624,3131.799377275999,322568.49222524755,321768.1021397133,102.99781479164022,22.609121665976804
1913,NRC,317611.9809698689,15085.292472064817,3330.4567341790557,317413.3236129658,316758.4710010547,95.30624444253797,20.997834253968428
1914,NRC,284522.53841192136,15521.97199099301,3520.6024904300607,284332.39265567035,284085.8588929932,80.7624244510881,18.30217571954393
1915,NRC,209291.60933770234,15502.122921950817,3679.633205132816,209132.57862299957,209311.45840674452,56.83516996511367,13.502115772179954
1916,NRC,190631.62812510732,15700.613612372723,3773.8381140716697,190537.42321616848,190433.13743468543,50.48902932685521,12.12902515380777
1917,NRC,191430.40718032463,15958.651509921203,3850.604939041656,191353.64035535464,191172.36928277614,49.694435909329876,11.979230774224737
1918,NRC,198526.55074262703,16057.896855132154,3926.1200994273754,198451.0355822413,198427.3053974161,50.54634869961961,12.35699215081196
1919,NRC,192040.3111214399,16176.9912693853,4005.519727449585,191960.9114934177,191921.21670718677,47.92409588646416,11.863838801124572
1920,NRC,208989.28718419478,16256.387545554062,4077.6588382991904,208917.14807334516,208909.89090802602,51.23458247931439,12.850941841944492
1921,NRC,203493.72668457066,16395.331028849392,4161.760301466719,203409.62522140314,203354.78320127534,48.87586273282389,12.403213014940057
1922,NRC,191010.05502050513,16454.878235975968,4239.2965031032545,190932.5188188686,190950.50781337856,45.03872722257147,11.60449230161398
1923,NRC,217147.61326849007,16514.42544310254,4304.660705580777,217082.24906601253,217088.0660613635,50.42958409813258,13.145359904242572
1924,NRC,209863.99150043286,16772.46334065101,4389.5732332185125,209779.07897279513,209605.9536028844,47.79031305031478,12.497028572712248
1925,NRC,270548.4342784183,17030.50123819949,4466.391062282907,270471.6164493539,270290.39638086985,60.55708348814126,15.870959556645772
1926,NRC,239346.56411638975,17367.935411916733,4590.483468524049,239222.47171014862,239009.1299426725,52.11269648402946,13.761516511552674
1927,NRC,276084.4054232262,17844.313068929307,4686.751142262986,275988.13774948724,275608.02776621364,58.886876937149914,15.445146400513732
1928,NRC,289729.1285894213,18499.332347321597,4808.410177030249,289607.46955465403,289074.10931102897,60.229360410662856,15.626191469168464
1929,NRC,341791.7808725467,19849.06904219055,4937.44266254834,341662.74838702864,340442.0441776778,69.19832223645263,17.15153710504231
1930,NRC,408329.0823093469,21536.239910776745,5067.876608852784,408198.64836304245,406641.9114407607,80.54628789698305,18.88175062710352
1931,NRC,430852.20951737417,21695.032463114272,5210.159052417765,430709.9270738092,430693.41696503665,82.66732795305721,19.852167434978412
1932,NRC,253413.51303834066,21397.29642748141,5354.906576567969,253268.76551419045,253711.24907397354,47.29657966815805,11.857163821319125
1933,NRC,267451.03424358997,21238.503875143888,5453.090631026335,267352.8501891316,267609.8267959275,49.02776577157543,12.600220258881793
1934,NRC,151645.5277144678,21337.74922035484,5566.927319420301,151531.69102607385,151546.28236925686,27.219987316423822,7.102261855467467
1935,NRC,237398.0560805254,21953.07036066275,5675.6552243438255,237289.32817560187,236782.7349402175,41.80827037516807,10.785859610986513
1936,NRC,298315.74025292275,22449.29708671751,5795.18085908711,298196.2146181795,297819.513526868,51.45589445247324,13.266317977638495
1937,NRC,292580.2745357296,23104.3163651098,5913.310573156756,292462.14482165995,291925.2552573373,49.458275732933856,12.635095998693055
1938,NRC,358787.32111684215,23858.58098871304,6033.382185719559,358667.24950427935,358033.0564932389,59.447129066879036,15.006469021045982
1939,NRC,269282.41923144186,24414.354921894374,6164.13697496638,269151.66444219503,268726.64529826056,43.66412776602243,11.006911555024177
1940,NRC,266653.8216780431,25148.77047645543,6302.930823168888,266515.0278298406,265919.40612348204,42.28430159032689,10.573853158047582
1941,NRC,266019.92490392824,25704.54440963676,6435.746082131228,265887.1096449659,265464.15097074694,41.31410814718099,10.327518229470082
1942,NRC,180391.6167186018,26101.525790480573,6562.29396319329,180265.06883753976,179994.635337758,27.469825315448173,6.895943048793087
1943,NRC,158700.80468483022,26558.054378450957,6628.259683124921,158634.83896489858,158244.27609685983,23.933105603688343,5.9584288006149375
1944,NRC,205753.14185729358,27074.13017354791,6710.263731685568,205671.13780873292,205237.06606219662,30.650231649996545,7.580559919990274
1945,NRC,311810.69520324795,27808.54572810896,6830.000696563116,311690.9582383704,311076.2796486869,45.63556756227193,11.186355543010293
1946,NRC,298643.4109937042,28840.69731830287,6957.388283336352,298516.02340693097,297611.2594035103,42.906333705983755,10.319142291148431
1947,NRC,433773.60827106604,29932.396115623353,7187.490831118809,433543.50572328357,432681.90947374556,60.3191733958425,14.455304807619635
1948,NRC,357517.83882248215,30865.3023606063,7423.019656643473,357282.3099969575,356584.9325774992,48.131666966178116,11.552938260945474
1949,NRC,470664.0142442627,31957.00115792679,7602.019800970918,470485.01409993524,469572.31544694223,61.88947495767449,14.693879226226048
1950,NRC,371582.4875370011,32889.90740290974,7821.090905297649,371363.41643267433,370649.5812920181,47.482304058265036,11.269401787954779
1951,NRC,470779.76796873566,34319.04037394746,7999.342424490463,470601.51644954283,469350.63499769795,58.83002520416782,13.676100202207143
1952,NRC,504314.1040817398,35906.965897322705,8263.165979270178,504050.2805269601,502726.1785583645,60.99965579675782,14.000798062301577
1953,NRC,488584.84070926864,37375.79700644481,8520.66884996713,488327.3378385717,487116.00960014656,57.310916130774814,13.03292634846427
